Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Panama,PA,Panama,"Panamčan, Panamčanka",panamský,balboa/americký dolár,North America,3,8.966666666666667,-79.533333
Papua-Nová Guinea,PG,Port Moresby,"Papuánec, Papuánka",papuánsky,kina,Oceania,1,-9.45,147.183333
Paraguaj,PY,Asunción,"Paraguajčan, Paraguajčanka; Paraguajec, Paraguajka",paraguajský,guaraní,South America,4,-25.266666666666666,-57.666667000000004
Peru,PE,Lima,"Peruánec, Peruánka",peruánsky,sol,South America,4,-12.05,-77.05
Pitcairnove ostrovy,PN,Adamstown,"obyvateľ, obyvateľka Pitcairnových ostrovov",z Pitcairnových ostrovov,novozélandský dolár,Oceania,1,-25.066666666666666,-130.083333
Pobrežie Slonoviny,CI,Yamoussoukro,"obyvateľ, obyvateľka Pobrežia Slonoviny",z Pobrežia Slonoviny,frank CFA,Africa,5,6.816666666666666,-5.266667
Poľsko,PL,Varšava,"Poliak, Poľka",poľský,zlotý,Europe,2,52.25,21.0
Portoriko,PR,San Juan,"Portoričan, Portoričanka",portorický,americký dolár,North America,3,18.466666666666665,-66.116667
Portugalsko,PT,Lisabon,"Portugalec, Portugalka; Portugalčan, Portugalčanka",portugalský,euro,Europe,2,38.71666666666667,-9.133333
Rakúsko,AT,Viedeň,"Rakúšan, Rakúšanka",rakúsky,euro,Europe,2,48.2,16.366667
Rovníková Guinea,GQ,Malabo,"obyvateľ, obyvateľka Rovníkovej Guiney",z Rovníkovej Guiney,frank CFA,Africa,5,3.75,8.783333
Rumunsko,RO,Bukurešť,"Rumun, Rumunka",rumunský,rumunský leu,Europe,2,44.43333333333333,26.1
Rusko,RU,Moskva,"Rus, Ruska",ruský,ruský rubeľ,Europe,2,55.75,37.6
Rwanda,RW,Kigali,"Rwanďan, Rwanďanka",rwandský,rwandský frank,Africa,5,-1.95,30.05
Saint Martin,MF,Marigot,"obyvateľ, obyvateľka Saint Martina",zo Saint Martina,euro,North America,3,18.0731,-63.0822
Saint Pierre a Miquelon,PM,Saint-Pierre,"obyvateľ, obyvateľka ostrovov Saint Pierre a Miquelon",z ostrovov Saint Pierre a Miquelon,euro,North America,3,46.76666666666666,-56.183333
Salvádor,SV,San Salvador,"Salvádorčan, Salvádorčanka",salvádorský,salvádorský colón/americký dolár,North America,3,13.7,-89.2
